图鉴编号,直接遇敌地图与池,直接遇敌解锁条件
1,常青森林 / 2星池,初始开放
2,常青森林 / 3星池,初始开放
3,常青森林 / 4星池,初始开放
4,月见山洞 / 2星池,初始开放
5,月见山洞 / 3星池,初始开放
6,月见山洞 / 4星池,初始开放
7,海边浅滩 / 2星池,初始开放
8,海边浅滩 / 3星池,初始开放
9,海边浅滩 / 4星池,初始开放
10,常青森林 / 1星池,初始开放
11,常青森林 / 2星池,初始开放
12,常青森林 / 3星池,初始开放
13,常青森林 / 1星池,初始开放
14,常青森林 / 2星池,初始开放
15,常青森林 / 3星池,初始开放
16,常青森林 / 1星池,初始开放
17,常青森林 / 3星池,初始开放
18,常青森林 / 4星池,初始开放
19,废弃电站 / 1星池,初始开放
20,废弃电站 / 2星池,初始开放
21,常青森林 / 1星池,初始开放
22,常青森林 / 3星池,初始开放
23,常青森林 / 1星池,初始开放
24,常青森林 / 3星池,初始开放
25,常青森林 / 2星池; 废弃电站 / 2星池,初始开放
26,废弃电站 / 3星池,初始开放
27,月见山洞 / 1星池,初始开放
28,月见山洞 / 3星池,初始开放
29,常青森林 / 2星池,初始开放
30,常青森林 / 3星池,初始开放
31,常青森林 / 4星池,初始开放
32,常青森林 / 2星池,初始开放
33,常青森林 / 3星池,初始开放
34,常青森林 / 4星池,初始开放
35,月见山洞 / 2星池,初始开放
36,月见山洞 / 4星池,初始开放
37,月见山洞 / 2星池,初始开放
38,月见山洞 / 4星池,初始开放
39,月见山洞 / 2星池,初始开放
40,月见山洞 / 4星池,初始开放
41,月见山洞 / 1星池,初始开放
42,月见山洞 / 3星池,初始开放
43,常青森林 / 1星池,初始开放
44,常青森林 / 3星池,初始开放
45,常青森林 / 4星池,初始开放
46,常青森林 / 1星池,初始开放
47,常青森林 / 3星池,初始开放
48,常青森林 / 2星池,初始开放
49,常青森林 / 3星池,初始开放
50,月见山洞 / 1星池,初始开放
51,月见山洞 / 3星池,初始开放
52,废弃电站 / 1星池,初始开放
53,废弃电站 / 3星池,初始开放
54,海边浅滩 / 1星池,初始开放
55,海边浅滩 / 3星池,初始开放
56,月见山洞 / 2星池,初始开放
57,月见山洞 / 3星池,初始开放
58,废弃电站 / 2星池,初始开放
59,废弃电站 / 5星池,初始开放
60,海边浅滩 / 1星池,初始开放
61,海边浅滩 / 3星池,初始开放
62,海边浅滩 / 4星池,初始开放
63,废弃电站 / 2星池,初始开放
64,废弃电站 / 3星池,初始开放
65,废弃电站 / 4星池,初始开放
66,月见山洞 / 2星池,初始开放
67,月见山洞 / 3星池,初始开放
68,月见山洞 / 4星池,初始开放
69,常青森林 / 2星池,初始开放
70,常青森林 / 3星池,初始开放
71,常青森林 / 4星池,初始开放
72,海边浅滩 / 1星池,初始开放
73,海边浅滩 / 3星池,初始开放
74,月见山洞 / 1星池,初始开放
75,月见山洞 / 3星池,初始开放
76,月见山洞 / 4星池,初始开放
77,废弃电站 / 2星池,初始开放
78,废弃电站 / 3星池,初始开放
79,海边浅滩 / 2星池,初始开放
